Company,URL,Company Description,All Investors,Total Funding,Sector,Industry,Sub-Industry,Country,State,City,Phone,Email,VC Backed,Exit Round,Exit Date,Last Funding Round,Last Funding Date,Last Funding Amount,Last Funding Simplified Round,Last Funding Investors,Min Valuation,Max Valuation,Min Price/Sales Ratio,Max Price/Sales Ratio,Continent,Private Collections,Expert Collections,Twitter Score,# Twitter Followers,Twitter Engagement,Followers to Following,Twitter Followers Growth,Twitter Mentions Growth,Twitter Handle
1-800-FLOWERS.COM,http://www.1800flowers.com,"1-800-FLOWERS.COM (NASDAQ: FLWS) provides customers around the world with fresh flowers and a wide selection of plants, gift baskets, gourmet foods, confections, and plush stuffed animals for every occasion. The Company's product offerings can be purchased online or by calling its toll-free telephone number, and delivered on the same day.",Benchmark;Brobeck Phleger & Harrison LLP;L Capital Partners;Public;Softbank Capital;Undisclosed Venture Investors,112.64,Internet,eCommerce,,United States,New York,Carle Place,516-237-6000,careers@1800flowers.com,Yes,IPO,1999/08/03,Series E,1999/05/13,102.64,Series E,Brobeck Phleger & Harrison LLP;L Capital Partners;Benchmark;Softbank Capital,1302,1302,,,North America,,E-Commerce;Smart Money VCs,,44699,5.04,3.78,157.00%,-96.00%,@1800flowers
2U,http://www.2u.com,"2U, formerly 2tor, partners with colleges and universities to build what aims to be the world's best digital education. The platform provides a comprehensive fusion of technology, services and data architecture to transform high-quality and rigorous campus-based universities into the best digital versions of themselves. 2U's No Back Row® approach allows qualified students and working professionals around the world to experience a first-rate university education and successful outcomes.",Bessemer Venture Partners;City Light Capital;Coffin Capital & Ventures;Comerica Incorporated;Highland Capital Partners;Hillman Company;Novak Biddle Venture Partners;Public;Redpoint Ventures;Rethink Education;SVB Capital;Undisclosed Investors;Undisclosed Venture Investors;WestRiver Capital,106.91,Internet,Internet Software & Services,Education & Training,United States,Maryland,Lanham,301-892-4350,jzocks@2tor.com,Yes,IPO,2014/03/28,Series D - II,2013/10/21,5.1,Series D,Highland Capital Partners;Redpoint Ventures;Bessemer Venture Partners,508.69,508.69,6.119947064,6.119947064,North America,,Ed Tech;ASU GSV Summit 2016;Smart Money VCs,,267,0.02,3.34,,-67.00%,@2Ucareers
A10 Networks,http://www.a10networks.com,"A10 Networks specializes in application networking and security, providing a range of high-performance application networking solutions that help organizations ensure that their data center applications and networks remain highly available, accelerated and secure.",Bank of America Merrill Lynch;CID Capital;Enspire Capital;H&Q Asia Pacific;Harbinger Venture Management;J.P. Morgan Chase & Co.;Mitsui & Co. Global Investment;Miven Venture Partners;Public;RBC Capital Partners;Summit Partners;Tekla Capital Management;Triton Ventures Partners,153,Software (non-internet/mobile),Networking & Connectivity Software,,United States,California,San Jose,408-325-8616,inquire@a10networks.com,Yes,IPO,2014/03/21,Series D,2013/10/03,80,Series D,Summit Partners,885.43,885.43,6.247301207,6.247301207,North America,,RSA Exhibitors 2016;Cloud Computing;Enterprise SaaS,,12955,0.47,5.28,-21.00%,0.00%,@A10Networks
ACADIA Pharmaceuticals,http://www.acadia-pharm.com,"ACADIA Pharmaceuticals, formerly Recptor Technologies, is a biopharmaceutical company focused on the discovery, development and commercialization of small molecule drugs for the treatment of central nervous system disorders. The company has five drug programs in clinical and preclinical development. ACADIA's three clinical programs are ACP-103 for treatment-induced dysfunction in Parkinson's disease currently in Phase II clinical trials, and ACP-104 and ACP-103, both for the treatment of schizophrenia. The company has two preclinical programs for the development of drug candidates for neuropathic pain and glaucoma in collaboration with Allergan.",AAC Capital Partners;ABN AMRO Bank;Baker Brothers Investments;BVF Partners;Dansk Kapital;Finsbury Worldwide Pharmaceutical Trust plc;LD Pensions;Nomura Holdings;OrbiMed Advisors;Oxford Bioscience Partners;Public;Sampension;T. Rowe Price;Tekla Capital Management;Undisclosed Investors,47.7,Healthcare,Biotechnology,,United States,California,San Diego,858-558-2871,,Yes,IPO,2004/05/11,Series E,2000/05/01,22,Series E,OrbiMed Advisors;Dansk Kapital;Tekla Capital Management;LD Pensions;Sampension,117.92,117.92,,,North America,,BIO 2016;Pharma Startups;Eye Health;Neuroscience Startups,,,,,,,
ACM Research,http://www.acmrcsh.com,"ACM Research is a semiconductor equipment manufacturing company for polishing and plating in copper interconnect, headquartered in northern California.",Public;Sycamore Ventures;Undisclosed Venture Investors,25,Electronics,Chips & Semiconductors,Semiconductor Equipment,United States,California,Fremont,510-445-3700,,Yes,IPO,2017/11/03,Growth Equity,2016/08/16,15,Growth Equity,Sycamore Ventures,71.13,71.13,,,North America,,,,,,,,,
AMC Entertainment Hodings,http://www.amctheatres.com,"AMC Entertainment Holdings (NYSE: AMC), dba AMC Theatres, is a movie exhibition company with approximately 900 theaters and more than 10,000 screens across the globe. AMC provides plush power-recliner seats as well as a wide range of food and beverage choices; generates improved guest engagement through its loyalty program, website, and smartphone apps; and offers premium large format experiences and a wide variety of content including independent programming.",Apollo Investment Management;Bain Capital;J.P. Morgan Chase & Co.;Public;Spectrum Equity;The Carlyle Group;Undisclosed Venture Investors;Wanda Group,6,Leisure,Entertainment,Movie Theaters,United States,Kansas,Leawood,913-213-2000,investorrelations@amctheatres.com,Yes,IPO,2013/12/18,Series A,2000/10/01,6,Series A,Undisclosed Venture Investors,346.06,346.06,0.16997053,0.16997053,North America,,,,109,0,1.45,,,@AMCPuenteHills
AVEO Oncology,http://www.aveooncology.com,"AVEO Oncology, formerly AVEO Pharmaceuticals, has built inducible, tissue-specific in vivo cancer models with which to discover drugs. Each model contains signature genetic mutations, and natural genetic variation akin to the genetic heterogeneity encountered across different primary tumors. Further, tumors that arise in this model have a number of differing phenotypes, including significant variation in tissue architecture and angiogenic potential.",Applied Genomics;Bessemer Venture Partners;Biogen Idec New Ventures;Flagship Pioneering;GE Capital;Greylock Partners;Hercules Capital;Highland Capital Partners;Lotus Biosciences;Merck & Co.;Merlin Biomed Group;Merlin BioSciences;Merlin Nexus;Mitsubishi Corporation Life Sciences Ventures;MPM Capital;OSI Pharmaceuticals;Oxford Bioscience Partners;Prospect Venture Partners;Public;Schering-Plough;Venrock,131.2,Healthcare,Pharmaceuticals / Drugs,,United States,Massachusetts,Cambridge,617-299-5000,,Yes,IPO,2010/03/12,Series E,2009/07/17,20,Series E,OSI Pharmaceuticals,219.887881,219.887881,,,North America,,BIO 2016;Smart Money VCs;Pharma Startups;Cancer Therapeutics,,453,0,3.1,200.00%,,@AVEOoncology
Acacia Communications,http://www.acacia-inc.com,"Acacia Communications provides advanced solutions to the optical transport and network infrastructure equipment market for coherent 100G, 200G, 400G and beyond transceivers. By working in close collaboration with customers and suppliers, Acacia designs, manufactures and sells leading-edge optical transponder technology that enables customers to reduce overall development costs while increasing performance and reducing time to market. As worldwide network bandwidth continues to grow exponentially, Acacia is committed to continuing to build transformative products to meet the demand for the expanded adoption of 100G based systems globally, with leading performance solutions at the lowest total cost to market of any solutions in the industry.",Commonwealth Capital Ventures;Egan-Managed Capital;MassDevelopment;Matrix Partners;Public;Summit Partners,23,Mobile & Telecommunications,Fiber Optics,,United States,Massachusetts,Maynard,978-938-4896,info@acacia-inc.com,Yes,IPO,2016/05/13,Series B,2013/05/15,20,Series B,Egan-Managed Capital;Matrix Partners;Commonwealth Capital Ventures;Summit Partners,820.09,820.09,9.706355782,9.706355782,North America,,,,,,,,,
Acceleron Pharma,http://www.acceleronpharma.com,"Acceleron Pharma is a biopharmaceutical company committed to discover, develop, manufacture and commercialize protein therapeutics for orphan diseases and cancer. Acceleron utilizes biotherapeutic technologies and capitalizes on the company's internal GMP manufacturing capability to advance its therapeutic programs rapidly and efficiently.",Advanced Technology Ventures;Alkermes;Avalon Ventures;Bessemer Venture Partners;Celgene;Flagship Pioneering;Hercules Capital;MPM Capital;Novo Ventures;OrbiMed Advisors;Polaris Partners;Public;Qualifying Therapeutic Discovery Project;QVT Financial;Sutter Hill Ventures;Venrock,136.52,Healthcare,Biotechnology,,United States,Massachusetts,Cambridge,617-649-9200,,Yes,IPO,2013/09/19,Growth Equity,2011/12/23,30,Growth Equity,Polaris Partners;Celgene;Venrock;Avalon Ventures;QVT Financial;Flagship Pioneering;Advanced Technology Ventures;MPM Capital;Alkermes;Sutter Hill Ventures;OrbiMed Advisors;Bessemer Venture Partners,385.58,385.58,25.20130719,25.20130719,North America,,Smart Money VCs;Pharma Startups;Cancer Therapeutics;Rare Diseases,,175,0,1.75,31.00%,,@AcceleronPharma
Accuray,http://www.accuray.com,"Accuray Incorporated (Nasdaq: ARAY) is a radiation oncology company that develops, manufactures and sells precise treatment solutions that set the standard of care with the aim of helping patients live longer, better lives. The company's technologies deliver the full range of radiation therapy and radiosurgery treatments.",Public;Undisclosed Venture Investors,17.21,Healthcare,Medical Devices & Equipment,Therapeutic Devices,United States,California,Sunnyvale,408-716-4600,,Yes,IPO,2007/02/09,Series C - II,2001/01/01,5,Series C,Undisclosed Venture Investors,939.82,939.82,,,North America,,,,,,,,,
